Nom Groupe,Vendeur,Domaine,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Entreprise_001,MOREL CASEY,12 VOICE,176454,187612,73887,160338,99828,9199,123608
Entreprise_001,MOREL CASEY,12 VOICE,50361,183427,195700,27246,61953,48173,158486
Entreprise_001,MOREL CASEY,12 VOICE,52884,83462,159576,179868,134058,116802,4989
Entreprise_001,MOREL CASEY,12 VOICE,87625,88965,79382,69465,174694,148683,28557
Entreprise_001,MOREL CASEY,12 VOICE,132061,9985,82782,9534,177351,179488,167678
Entreprise_001,MOREL CASEY,12 VOICE,194971,125235,70752,71191,122010,147895,120968
Entreprise_001,MOREL CASEY,12 VOICE,13468,8438,26093,105431,17171,44033,84474
Entreprise_001,MOREL CASEY,12 VOICE,9187,28394,35840,13314,77785,182123,4080
Entreprise_001,MOREL CASEY,12 VOICE,130515,189648,195637,44190,190781,191972,49163
Entreprise_001,MOREL CASEY,12 VOICE,9554,157920,186608,150784,177536,10196,94804
Entreprise_001,MOREL CASEY,12 VOICE,190821,79595,22883,102849,18063,101075,144721
Entreprise_001,MOREL CASEY,12 VOICE,66658,53894,93336,15341,122525,5310,181636
Entreprise_001,MOREL CASEY,12 VOICE,137232,95210,17336,117505,156942,147405,25177
Entreprise_001,MOREL CASEY,12 VOICE,94559,121713,1003,76058,123240,34561,9148
Entreprise_001,MOREL CASEY,12 VOICE,21367,102460,194507,22652,143908,9412,124402
Entreprise_001,MOREL CASEY,12 VOICE,194344,190987,33992,91195,97972,37910,112065
Entreprise_001,MOREL CASEY,12 VOICE,178226,76767,35393,165231,146629,-10,154092
Entreprise_001,MOREL CASEY,12 VOICE,112866,140449,46936,139598,94188,370,184166
Entreprise_001,MOREL CASEY,12 VOICE,4755,120085,132288,113341,66316,160572,49728
Entreprise_001,MOREL CASEY,12 VOICE,19092,121854,39200,28435,160498,43189,29266
Entreprise_001,MOREL CASEY,12 VOICE,14615,101182,66042,119725,28717,81768,89188
Entreprise_001,MOREL CASEY,12 VOICE,87027,82990,12204,186409,48271,142904,142072
Entreprise_001,MOREL CASEY,12 VOICE,187312,22296,199361,123473,89781,162398,166466
Entreprise_001,MOREL CASEY,12 VOICE,113880,10253,116010,117680,188932,23369,30239
Entreprise_001,MOREL CASEY,12 VOICE,188857,19607,83009,138883,141771,14928,188197
Entreprise_001,MOREL CASEY,12 VOICE,45462,72824,51052,122701,90559,75607,181797
Entreprise_001,MOREL CASEY,12 VOICE,52257,129677,25534,12015,195326,54436,118125
